MainID,CrossStreetMainID,STREET,FROM,TO,District,StartTime,EndTime,Side,Miles,oneway,week1,week2,week3,week4,week5,EveryDay,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Yearround
1,1222,ACKLEY PLACE,WASHINGTON STREET,DEAD END,2,08:00:00.0000000,12:00:00.0000000,Even,0.0455,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
2,545,ARCADIA PARK,DRAPER STREET,DITSON STREET,3,08:00:00.0000000,12:00:00.0000000,Even,0.0835,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
3,1677,ASHCROFT STREET,PERKINS STREET,MORAINE STREET,2,08:00:00.0000000,12:00:00.0000000,Odd,0.1015,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
4,2635,BOYLSTON STREET,TREMONT STREET,CHARLES STREET,1B,00:01:00.0000000,07:00:00.0000000,,0.1519,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
5,674,CHESTNUT STREET,WALNUT STREET,CHARLES STREET,1H,08:00:00.0000000,12:00:00.0000000,Even,0.2008,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
6,44,BLACKWOOD STREET,SAINT BOTOLPH STREET,DEAD END,1B,08:00:00.0000000,12:00:00.0000000,Even,0.0517,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
7,307,BUCKNAM STREET,LAWN STREET,FISHER AVENUE,10M,12:00:00.0000000,16:00:00.0000000,Odd,0.0803,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
8,2344,ACADIA STREET,EAST FIRST STREET,EAST SECOND STREET,5,09:00:00.0000000,13:00:00.0000000,Even,0.0568,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
9,1012,ACADIA STREET,EAST FIRST STREET,EAST SECOND STREET,5,09:00:00.0000000,13:00:00.0000000,Odd,0.0568,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
10,1069,ALLSTON STREET,CENTRE STREET,MELVILLE AVENUE,7,12:00:00.0000000,16:00:00.0000000,Odd,0.1955,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
12,1779,ABBOTSFORD STREET,WALNUT AVENUE,HAROLD STREET,10R,08:00:00.0000000,12:00:00.0000000,Odd,0.121,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
13,2313,BROOKS STREET,BREMEN STREET,PRINCETON STREET,9,12:00:00.0000000,16:00:00.0000000,Even,0.2513,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
15,40,BULLARD STREET,BOWDOIN STREET,BOWDOIN AVENUE,3,12:00:00.0000000,16:00:00.0000000,Odd,0.1991,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
16,1075,CENTRE STREET,TALBOT AVENUE,DORCHESTER AVENUE,7,08:00:00.0000000,12:00:00.0000000,Even,0.5405,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
17,2122,APPLETON STREET,TREMONT STREET,WEST CANTON STREET,1S,12:00:00.0000000,16:00:00.0000000,Odd,0.3938,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False
18,1696,BOYLSTON STREET,LAMARTINE STREET,WASHINGTON STREET,2,08:00:00.0000000,12:00:00.0000000,Odd,0.3515,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False
19,1210,AMES STREET,WESTVIEW STREET,DEAD END,7,08:00:00.0000000,12:00:00.0000000,Odd,0.3042,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
20,2503,CARYLL STREET,MORTON STREET,MARYKNOLL STREET,7,12:00:00.0000000,16:00:00.0000000,Odd,0.1705,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
22,2081,BRAEMORE ROAD,COMMONWEALTH AVENUE,CHISWICK ROAD,4,12:00:00.0000000,16:00:00.0000000,Odd,0.0943,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
23,2649,CHATHAM STREET,MERCHANTS ROW,COMMERCIAL STREET,1F,00:01:00.0000000,07:00:00.0000000,,0.1047,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
24,2381,BISMARCK STREET,BOYLSTON STREET,PORTER STREET,2,08:00:00.0000000,12:00:00.0000000,Even,0.0379,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
25,353,CHESTNUT AVENUE,CENTRE STREET,MOZART STREET,2,12:00:00.0000000,16:00:00.0000000,Even,0.235,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
26,2645,CENTRAL STREET,INDIA STREET,DEAD END,1F,00:01:00.0000000,07:00:00.0000000,,0.0795,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
27,1844,BRADEEN STREET,WASHINGTON STREET,DEAD END,2,12:00:00.0000000,16:00:00.0000000,Odd,0.1848,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
28,1505,AMORY STREET,DIMOCK STREET,SCHOOL STREET,10R,08:00:00.0000000,12:00:00.0000000,Even,0.193,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
29,122,CHISWICK ROAD,CHESTNUT HILL AVENUE,DEAD END,4,08:00:00.0000000,12:00:00.0000000,Even,0.1438,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
30,280,BUNKER HILL STREET,MOULTON STREET,MEDFORD STREET,1C,08:00:00.0000000,12:00:00.0000000,Even,0.9085,False,True,True,True,True,True,False,False,False,False,False,True,False,False,False
31,1469,BLUEFIELD TERRACE,GLADESIDE AVENUE,RIDGEVIEW AVENUE,7,12:00:00.0000000,16:00:00.0000000,Even,0.1117,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
32,1299,CEYLON STREET,QUINCY STREET,COLUMBIA ROAD,3,12:00:00.0000000,16:00:00.0000000,Even,0.1769,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
33,2413,CHESTNUT STREET,CHARLES STREET,DAVID G MUGAR WAY,1H,08:00:00.0000000,12:00:00.0000000,Even,0.1627,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
34,882,BENNETT STREET,MARKET STREET,SOUTH HOBBART STREET,4,12:00:00.0000000,16:00:00.0000000,Odd,0.3021,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False
35,1740,BRUNSWICK STREET,BLUE HILL AVENUE,NORMANDY STREET,3,12:00:00.0000000,16:00:00.0000000,Odd,0.1273,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
36,1434,BREMEN STREET,SUMNER STREET,PORTER STREET,9,12:00:00.0000000,16:00:00.0000000,Even,0.347,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
37,546,CHARLES STREET,DORCHESTER AVENUE,GENEVA AVENUE,3,08:00:00.0000000,12:00:00.0000000,Even,0.2737,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False
38,1919,CHARLES STREET,DORCHESTER AVENUE,GENEVA AVENUE,3,08:00:00.0000000,12:00:00.0000000,Odd,0.2737,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False
39,251,ABBOTSFORD STREET,WALNUT AVENUE,HAROLD STREET,10R,08:00:00.0000000,12:00:00.0000000,Even,0.121,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
