id_trc,rue_nom,rue_de,rue_a,id_trc_pair,rule_pair_1,rule_pair_2,id_trc_impair,rule_impair_1,rule_impair_2
1601212,Albert-Denault,Wellington,Cul-de-sac,16012122,MTLVER-ARR,,16012121,MTLVER-NP,
1601547,Allard,Bannantyne,Monteith,16015472,MTLVER-01,MTLVER-32,16015471,MTLVER-02,MTLVER-33
1601545,Allard,Lasalle,Bannantyne,16015452,MTLVER-01,MTLVER-32,16015451,MTLVER-02,MTLVER-33
1601601,Allard,Monteith,Beurling,16016012,MTLVER-01,MTLVER-32,16016011,MTLVER-02,MTLVER-33
1601274,Allen,Lasalle,Hickson,16012742,MTLVER-03,,16012741,MTLVER-28,
1601613,Argyle,Bannantyne,Champlain,16016132,MTLVER-04,MTLVER-33,16016131,MTLVER-06,MTLVER-32
1601477,Argyle,Lasalle,Wellington,16014772,MTLVER-BUS,,16014771,MTLVER-06,MTLVER-32
1601455,Argyle,Verdun,Bannantyne,16014552,MTLVER-04,MTLVER-33,16014551,MTLVER-06,MTLVER-32
1601457,Argyle,Wellington,Verdun,16014572,MTLVER-04,MTLVER-33,16014571,MTLVER-06,MTLVER-32
1601555,Bannantyne,Allard,Valiquette,16015552,MTLVER-05,MTLVER-34,16015551,MTLVER-25,MTLVER-43
1601488,Bannantyne,Argyle,Woodland,16014882,MTLVER-05,MTLVER-34,16014881,MTLVER-25,MTLVER-43
1601504,Bannantyne,Beatty,Moffat,16015042,MTLVER-05,MTLVER-34,16015041,MTLVER-25,MTLVER-43
1601511,Bannantyne,Brown-Brault,Godin,16015112,MTLVER-05,MTLVER-34,16015111,MTLVER-25,MTLVER-43
1601509,Bannantyne,Brown-Richard,Brown-Brault,16015092,MTLVER-05,MTLVER-34,16015091,MTLVER-25,MTLVER-43
1601415,Bannantyne,Cinquième Ave,Sixième Ave (est),16014152,MTLVER-05,MTLVER-34,16014151,MTLVER-25,MTLVER-43
1601438,Bannantyne,Desmarchais (est),Desmarchais (ouest),16014382,MTLVER-05,MTLVER-34,16014381,MTLVER-25,MTLVER-43
1601452,Bannantyne,Desmarchais (ouest),Melrose,16014522,MTLVER-05,MTLVER-34,16014521,MTLVER-25,MTLVER-43
1601389,Bannantyne,Deuxième,Troisième,16013892,MTLVER-05,MTLVER-34,16013891,MTLVER-25,MTLVER-43
1601346,Bannantyne,Dupuis,Hickson,16013462,MTLVER-05,MTLVER-34,16013461,MTLVER-25,MTLVER-43
1601492,Bannantyne,Egan,Osborne,16014922,MTLVER-05,MTLVER-34,16014921,MTLVER-25,MTLVER-43
4007720,Bannantyne,Église,Galt,40077202,MTLVER-05,MTLVER-34,40077201,MTLVER-25,MTLVER-43
1601362,Bannantyne,Galt,Gordon,16013622,MTLVER-05,MTLVER-34,16013621,MTLVER-25,MTLVER-43
1601512,Bannantyne,Godin,Riverview,16015122,MTLVER-05,MTLVER-34,16015121,MTLVER-25,MTLVER-43
1601365,Bannantyne,Gordon,Rielle,16013652,MTLVER-05,MTLVER-34,16013651,MTLVER-25,MTLVER-43
1601355,Bannantyne,Hickson,Église,16013552,MTLVER-05,MTLVER-34,16013551,MTLVER-25,MTLVER-43
1601507,Bannantyne,Manning,Brown-Richard,16015072,MTLVER-05,MTLVER-34,16015071,MTLVER-25,MTLVER-43
1601454,Bannantyne,Melrose,Argyle,16014542,MTLVER-05,MTLVER-34,16014541,MTLVER-25,MTLVER-43
1601506,Bannantyne,Moffat,Manning,16015062,MTLVER-05,MTLVER-34,16015061,MTLVER-25,MTLVER-43
1601498,Bannantyne,Osborne,Beatty,16014982,MTLVER-05,MTLVER-34,16014981,MTLVER-25,MTLVER-43
1601390,Bannantyne,Première,Deuxième,16013902,MTLVER-05,MTLVER-34,16013901,MTLVER-25,MTLVER-43
1601414,Bannantyne,Quatrième Ave,Cinquième Ave,16014142,MTLVER-05,MTLVER-34,16014141,MTLVER-25,MTLVER-43
1601392,Bannantyne,Rielle,Willibrord,16013922,MTLVER-05,MTLVER-34,16013921,MTLVER-25,MTLVER-43
1601546,Bannantyne,Riverview,Allard,16015462,MTLVER-05,MTLVER-34,16015461,MTLVER-25,MTLVER-43
1601557,Bannantyne,Rolland,Stephens,16015572,MTLVER-05,MTLVER-34,16015571,MTLVER-25,MTLVER-43
1601416,Bannantyne,Sixième Ave (est),Sixième Ave (ouest),16014162,MTLVER-05,MTLVER-34,16014161,MTLVER-25,MTLVER-43
1601417,Bannantyne,Sixième Ave (ouest),Desmarchais (est),16014172,MTLVER-05,MTLVER-34,16014171,MTLVER-25,MTLVER-43
1601558,Bannantyne,Stephens,Lasalle,16015582,MTLVER-BUS,,16015581,MTLVER-25,MTLVER-43
