name,operator,address,description,lun_normal,mar_normal,mer_normal,jeu_normal,ven_normal,sam_normal,dim_normal,hourly_normal,daily_normal,max_normal,lun_special,mar_special,mer_special,jeu_special,ven_special,sam_special,dim_special,hourly_special,daily_special,max_special,lun_free,mar_free,mer_free,jeu_free,ven_free,sam_free,dim_free,daily_free,indoor,handicap,card,valet,lat,long,capacity,street_view_lat,street_view_long,street_view_head,street_view_id,active,partner_name,partner_id
First Street Garage,City of Cambridge,51 First Street,,"6,16","6,16","6,16","6,16","6,16",,,2,,20,"16,6","16,6","16,6","16,6","16,6","0,24","0,24",2,,5,,,,,,,,,1,0,0,0,42.3690331078,-71.0781521403,1100,42.3686603,-71.0779897,324.24,gWVTEg-4DAGC_xE-3bqMkw,1,,
Green Street Garage,City of Cambridge,260 Green Street,,"8,18","8,18","8,18","8,18","8,18","8,18","8,18",1.5,,13,"18,8","18,8","18,8","18,8","18,8","18,8","18,8",1.5,,6,,,,,,,,,1,0,0,0,42.3640829243,-71.1037149001,280,42.3643356,-71.1034621,265.5,jg8oIpNZxY3otbHMWXhx7Q,1,,
#2 Harvard Square,City of Cambridge,110 Mount Auburn Street,,"8,18","8,18","8,18","8,18","8,18","8,18",,3,,,"18,22","18,22","18,22","18,22","18,22","18,22",,3,,,,,,,,,"0,24",,1,1,1,0,42.3726948215,-71.1220927896,60,42.3723586,-71.1220347,347.03,Xs9I941fQsdEubtAFWGGEg,1,,
#4 Central Square,City of Cambridge,96 Bishop Allen Drive,,"8,18","8,18","8,18","8,18","8,18","8,18",,1,,,"18,22","18,22","18,22","18,22","18,22","18,22",,2,,,,,,,,,"0,24",,0,1,1,0,42.3656226967,-71.1023276225,18,42.3658402,-71.1023094,166.73,h0j3YnP-sk67BIJxwBe9OA,1,,
#5 Central Square,City of Cambridge,84 Norfolk Street,,"8,18","8,18","8,18","8,18","8,18","8,18",,1,,,"18,22","18,22","18,22","18,22","18,22","18,22",,2,,,,,,,,,"0,24",,0,1,1,0,42.3651855359,-71.1018671675,95,42.3648556,-71.1016372,278.51,R8yiTHeOzJ-9-67tBLpv3w,1,,
#6 Central Square,City of Cambridge,453 Massachusetts Avenue,,"8,18","8,18","8,18","8,18","8,18","8,18",,1,,,"18,22","18,22","18,22","18,22","18,22","18,22",,2,,,,,,,,,"0,24",,0,1,1,0,42.3642230316,-71.1001454342,40,42.3644524,-71.0999779,244.73,M9aod4WT3zZs8n7NG8Y_GA,1,,
#8 Pleasant/Green,City of Cambridge,375 Green Street,,"8,18","8,18","8,18","8,18","8,18","8,18",,1,,,"18,22","18,22","18,22","18,22","18,22","18,22",,2,,,,,,,,,"0,24",,0,1,1,0,42.3658748199,-71.105706334,16,42.3657029,-71.1057495,38.35,C9WnKpJJz1T-tAI5ewqzwA,1,,
#9 Pleasant/Green,City of Cambridge,9 Pleasant Street,,"8,18","8,18","8,18","8,18","8,18","8,18",,1,,,"18,22","18,22","18,22","18,22","18,22","18,22",,2,,,,,,,,,"0,24",,0,1,1,0,42.3658801094,-71.1063693648,18,42.3660796,-71.1063653,189.27,dS2cnhgnYsxzo7MVRJRuLg,1,,
#11 Windsor/Cambridge,City of Cambridge,1010 Cambridge Street,,"8,22","8,22","8,22","8,22","8,22","8,22",,1,,,,,,,,,,,,,,,,,,,"0,24",,0,1,1,0,42.3725017591,-71.0938267257,10,42.372601,-71.0933421,259.63,C5FNMjiT8fBc2CUrcu0HNA,1,,
#12 Macarelli Way,City of Cambridge,7 Warren Street,,"8,18","8,18","8,18","8,18","8,18","8,18",,0.5,,,,,,,,,,,,,,,,,,,"0,24",,0,1,0,0,42.3724905325,-71.0885444888,30,42.3725006,-71.0888975,88.46,4dfngpBjVVTW96F3TdMEDw,1,,
