partner_id,partner_name,name,address,lat,lon,head,id
4893,Parking Panda,Penn Parking LLC,1 Pennsylvania Plz,40.7511568,-73.9931196,359.34,PKqvu2EtGuP6Kjkge7y3rg
2515,Parking Panda,211 W 29th St,211 W 29th St,40.7481112,-73.9935102,333.14,ca5oRBdEss03UHuAanbwxw
5247,Parking Panda,34th and Ninth Parking LLC,355 W 34th St,40.7530432,-73.9954633,357.64,1NIqZ51fDrdJvn20uvwyNg
5345,Parking Panda,Atrium Parking LLC,161 W 36th St,40.7520763,-73.9892032,78.83,Dp0UBHNPEJq0OlWkce6PKQ
2126,Parking Panda,Tori Parking,241 W 26th St,40.7468833,-73.9963469,83.66,HblRk2yUsgaaEL9tsUi92w
1195,Parking Panda,The Eventi Hotel,841 Ave of the Americas,40.7469399,-73.99075,14.23,HjiyzlljIWoyaaqAoFQAMg
5372,Parking Panda,Access 37 Parking LLC,404 W 37th St,40.755579,-73.9954619,180.56,-Wd7JY_mvnO4%2FVWZfk_Sh_qI%2FAAAAAAAALlc%2FTQaaR10Pz0Y
5249,Parking Panda,39th and Eighth Parking LLC,310 W 39th St,40.7555915,-73.9918009,248.61,3XtbVLskw2N0qrY5N7NN6w
5074,Parking Panda,Pace Parking LLC,67 W 36th St,40.7509164,-73.9864532,29.93,EdWJV0HY3O--IiymzqfyQA
2931,Parking Panda,450 10th Ave,450 10th Ave,40.7553905,-73.9985715,84.52,wFX4SNHxjpFSzitMYRc3-g
5071,Parking Panda,Floral 26 Parking LLC,52 W 26th St,40.7445439,-73.9908224,177.2,BiU_iReden1UdqYUxrXawA
5386,Parking Panda,Global Parking LLC,143 W 40th St,40.7545527,-73.9874181,38.3,MYsENa5kzDLi1WgfOQ35TA
5150,Parking Panda,Efficient Parking LLC,170 W 23rd St,40.7438406,-73.9950219,187.05,DJJdQNt2xDk7-1CcrGD7zw
4959,Parking Panda,92 W 24th St,92 W 24th St,40.7435308,-73.9922466,162.9,R0fDd0IDD2yhVE_0tS_wLg
2929,Parking Panda,65 W 24th St,65 W 24th St,40.7433477,-73.9918114,65.05,nXOcwqHuezUQByLs_Wiulg
5291,Parking Panda,Westside 42 Parking LLC,350 W 42nd St,40.7581906,-73.992078,164.25,02iLJtPKHw8BRyKS9rPufw
2936,Parking Panda,Times Square Lot,305 W 42nd St,40.7574713,-73.9903702,0.43,UzFCbyz62xPGI6igP-8Z3g
4464,Parking Panda,Aero Garage,10 E 30th St,40.745607,-73.9856733,176.73,FvlfjO3mSel0iQFZXnj5YA
5378,Parking Panda,Advance Parking LLC,253 W 43rd St,40.7575132,-73.9883838,347.97,PBkNi_7MCz8eCTeQabafZw
5214,Parking Panda,22 & Sixth Parking LLC,51 W 22nd St,40.7419317,-73.9926036,54.72,gpyX6CKTDcyj7lOLiaQ51w
5338,Parking Panda,JDS Parking LLC,501 W 41st St,40.7592139,-73.9965657,328.59,q85sb6p4jmLDS7aTbLnJjA
4874,Parking Panda,1114 Sixth Parking LLC,1114 Ave of the Americas,40.7548768,-73.9821023,258.69,iMO00zahmJhyGRR5NcYQbg
5211,Parking Panda,Regal Parking LLC,11 E 38th St,40.7505684,-73.9818146,78.4,fWxctGoXaYunvIbD7SxZmQ
2520,Parking Panda,150 West 20th Street,150 West 20th Street,40.7418752,-73.9961768,210.3,CE8uV2Z0h-Bii0TXXuONtg
5382,Parking Panda,Affiliated Parking LLC,20 E 39th St,40.7506967,-73.9801871,255.24,3j8I-5wEF0YCwBMZqoJ9dw
4881,Parking Panda,Astor Parking LLC,1515 Broadway,40.7578138,-73.9871488,60.54,PP40x4CqdsgzB4AB0BYCzA
2614,Parking Panda,39 East 29th Street,39 East 29th Street,40.7439272,-73.9837155,311.58,0YMWBDyqhsZIpGMF8ZYr9A
5153,Parking Panda,Flatiron 20 Parking LLC,21 W 20th St,40.7403823,-73.9926565,52.15,dl9o8vkNcppA9FSnqPgDiA
5354,Parking Panda,9-11 Park LLC,9 Park Ave,40.7473113,-73.9810454,111.27,yVEQr46R1J6OOXnIy4Je8g
5222,Parking Panda,Resource Parking LLC,164 W 46th St,40.7583615,-73.9845339,149.62,lc8yxhhrIRdZQkjzA6eYuA
