code,description,periods,time_max_parking,time_start,time_end,time_duration,lun,mar,mer,jeu,ven,sam,dim,daily,special_days,restrict_types,permit_no
SEA-PRM,PARKING PERMITTED AT ALL TIMES,,,0,24,24,,,,,,,,,,,
R7-1,NO PARKING ANYTIME,,,0,24,24,,,,,,,,1,,,
R7-2A5A,NO PARKING 2-5AM,,,2,5,3,,,,,,,,1,,,
R7-6A6PSUN,NO PARKING 6A-6P SUNDAYS ONLY,,,6,18,12,,,,,,,1,,,,
R7-BUS,METRO BUS STOP,,,0,24,24,,,,,,,,1,,bus,
R7-BUSC,METRO BUS STOP,,,0,24,24,,,,,,,,1,,bus,
R7-BUSI,METRO BUS STOP,,,0,24,24,,,,,,,,1,,bus,
R7-BUSK,METRO BUS STOP,,,0,24,24,,,,,,,,1,,bus,
R7-BUSR,METRO BUS STOP,,,0,24,24,,,,,,,,1,,bus,
R7-BUSX,METRO BUS STOP,,,0,24,24,,,,,,,,1,,bus,
R7-CLEAN,NO PARKING 2-7 AM SUN-TUE-THUR STREET CLEANING,,,2,7,5,,1,,1,,,1,,,cleaning,
R7-CLEAN-1,NO PARKING 2:30-5:00AM TUESDAYS STREET CLEANING,,,2.5,5,2.5,,1,,,,,,,,cleaning,
R7-CLEAN4,NO PARKING 9A-1P FIRST WEDNESDAY OF EVERY MONTH,,,9,13,4,,,1,,,,,,,cleaning,
R7-CLEANX,NO PARKING 2-7 AM MON-WED-FRI STREET CLEANING,,,2,7,5,1,,1,,1,,,,,cleaning,
R7-CLEANX-1,NO PARKING 4-6PM MON THRU FRI 2-7AM MON-WED-FRI,,,16,18,2,1,1,1,1,1,,,,,cleaning,
R7-CLEANX-1,NO PARKING 4-6PM MON THRU FRI 2-7AM MON-WED-FRI,,,2,7,5,1,,1,,1,,,,,cleaning,
R7-NP,NO PARKING ANYTIME,,,0,24,24,,,,,,,,1,,,
R7-NPD,"NO PARKING 7A-6P EXC SAT-SUN-HOL, TAZ",,,7,18,11,1,1,1,1,1,,,,,,
R7-NPD-1,NO PARKING 5PM-12AM,,,17,24,7,,,,,,,,1,,,
R7-NPE,NO PARKING EAST OF HERE,,,0,24,24,,,,,,,,1,,,
R7-NPL,NO PARKING ANYTIME,,,0,24,24,,,,,,,,1,,,
R7-NPLR,NO PARKING ANYTIME,,,0,24,24,,,,,,,,1,,,
R7-NPN,NO PARKING NORTH OF HERE,,,0,24,24,,,,,,,,1,,,
R7-NPR,NO PARKING ANYTIME,,,0,24,24,,,,,,,,1,,,
R7-NPS,NO PARKING SOUTH OF HERE,,,0,24,24,,,,,,,,1,,,
R7-NPW,NO PARKING WEST OF HERE,,,0,24,24,,,,,,,,1,,,
R7-NPX,NO PARKING ON PAVEMENT,,,0,24,24,,,,,,,,1,,,
R7-NPX-1,NO PARKING 6A-5P EXC SAT SUN HOL,,,6,17,11,1,1,1,1,1,,,,,,
R7-NPX-2,NO PARKING 12 MID-5AM,,,0,5,5,,,,,,,,1,,,
R7-NPX-3,NO PARKING 8P-6A,,,20,24,4,,,,,,,,1,,,
R7-NPX-3,NO PARKING 8P-6A,,,0,6,6,,,,,,,,1,,,
R7-NPX-4,NO PARKING 3-7P WEEKDAYS 9A-3P SAT-SUN-HOL,,,15,19,4,1,1,1,1,1,,,,,,
R7-NPX-4,NO PARKING 3-7P WEEKDAYS 9A-3P SAT-SUN-HOL,,,9,15,6,,,,,,1,1,,,,
R7-NPX-5,NO PARKING 10P-6A EVERYDAY,,,22,24,2,,,,,,,,1,,,
R7-NPX-5,NO PARKING 10P-6A EVERYDAY,,,0,6,6,,,,,,,,1,,,
R7-NPX-6,NO PARKING 9PM-6AM,,,21,24,3,,,,,,,,1,,,
R7-NPX-6,NO PARKING 9PM-6AM,,,0,6,6,,,,,,,,1,,,
R7-NPX-7,NO PARKING 5AM-5PM SUNDAYS ONLY,,,5,17,12,,,,,,,1,,,,
R7-NPX-8,NO PARKING 10PM-6AM,,,22,24,2,,,,,,,,1,,,
R7-NPX-8,NO PARKING 10PM-6AM,,,0,6,6,,,,,,,,1,,,
R7-NPX-9,"NO PARKING 7A-6P EXC SAT-SUN-HOL, TAZ",,,7,18,11,1,1,1,1,1,,,,,,
R7-NPX-10,NO PARKING 5P-12A,,,17,24,7,,,,,,,,1,,,
R7-NPX-11,"NO PARKING 6-9AM  EXC SAT-SUN-HOL, TAZ",,,6,9,3,1,1,1,1,1,,,,,,
R7-NPX-12,NO PARKING 7A-4P SUNDAYS ONLY,,,7,16,9,,,,,,,1,,,,
R7-NPX-13,NO PARKING 6A-4P SAT ONLY,,,6,16,10,,,,,,1,,,,,
R7-NPX-14,NO PARKING 6-8 AM 4-6 PM Except SAT-SUN-HOL,,,6,8,2,1,1,1,1,1,,,,,,
R7-NPX-14,NO PARKING 6-8 AM 4-6 PM Except SAT-SUN-HOL,,,16,18,2,1,1,1,1,1,,,,,,
R7-NPX-15,NO PARKING NOON-8P WEDNESDAYS ONLY APRIL THRU OCT,"04-01,10-31",,12,20,8,,,1,,,,,,,,
R7-NPX-16,NO PARKING 11PM-4AM,,,23,24,1,,,,,,,,1,,,
R7-NPX-16,NO PARKING 11PM-4AM,,,0,4,4,,,,,,,,1,,,
R7-NPX-17,NO PARKING WEST OF POLE LINE,,,0,24,24,,,,,,,,1,,,
R7-NPX-18,NO PARKING TOW AWAY ZONE,,,0,24,24,,,,,,,,1,,,
R7-NPX-19,"NO PARKING 7A-8P EXC SAT-SUN-HOL, TAZ",,,7,20,13,1,1,1,1,1,,,,,,
R7-NPX-20,NO PARKING 7AM-6PM MON-FRI,,,7,18,11,1,1,1,1,1,,,,,,
R7-NPX-21,NO PARKING ANYTIME EXC METRO BUSES 24 HOURS,,,0,24,24,,,,,,,,1,,,
R7-NPX-22,NO PARKING 2-5A,,,2,5,3,,,,,,,,1,,,
R7-NPX-23,"NO PARKING 7AM-7PM MON-FRI, TAZ, PAY @ PS 8AM-8PM SAT",,,7,19,12,1,1,1,1,1,,,,,,
R7-NPX-24,"NO PARKING 7AM-7PM MON-FRI, TAZ, PAY @ PS 8AM-8PM SAT",,,8,20,12,,,,,,1,,,,,
R7-NPX-25,NO PARKING 5-10AM EXC SAT SUN HOL,,,5,10,5,1,1,1,1,1,,,,,,
R7-NPX-26,NO PARKING 6P-6A EVERYDAY,,,18,24,6,,,,,,,,1,,,
R7-NPX-26,NO PARKING 6P-6A EVERYDAY,,,0,6,6,,,,,,,,1,,,
R7-NPX-27,NO PARKING 11PM-5AM TAZ,,,23,24,1,,,,,,,,1,,,
R7-NPX-27,NO PARKING 11PM-5AM TAZ,,,0,5,5,,,,,,,,1,,,
R7-NPX-28,"NO PARKING, 10PM-6AM",,,22,24,2,,,,,,,,1,,,
R7-NPX-28,"NO PARKING, 10PM-6AM",,,0,6,6,,,,,,,,1,,,
R7-NPX-29,NO PARKING 5P-12 MIDNITE,,,17,24,7,,,,,,,,1,,,
R7-NPX-30,NO PARKING 6AM-5PM SUNDAYS ONLY,,,6,17,11,,,,,,,1,,,,
R7-NPX-31,NO PARKING 9PM-6AM EVERYDAY,,,21,24,3,,,,,,,,1,,,
R7-NPX-31,NO PARKING 9PM-6AM EVERYDAY,,,0,6,6,,,,,,,,1,,,
R7-NPX-32,NO PARKING 7PM-6AM EXC BY ZN 21 PERMIT,,,19,24,5,,,,,,,,1,,permit,21
R7-NPX-32,NO PARKING 7PM-6AM EXC BY ZN 21 PERMIT,,,0,6,6,,,,,,,,1,,permit,21
R7-NPX-33,NO PARKING 12MID-5AM,,,0,5,5,,,,,,,,1,,,
R7-NPX-34,"NO PARKING 11P-5A EVERYDAY, TAZ",,,23,24,1,,,,,,,,1,,,
R7-NPX-34,"NO PARKING 11P-5A EVERYDAY, TAZ",,,0,5,5,,,,,,,,1,,,
R7-NPX-35,NO PARKING 2-5AM,,,2,5,3,,,,,,,,1,,,
R7-NPX-36,NO PARKING NOON-8PM THURSDAY ONLY JUNE THRU OCT,"06-01,10-31",,12,20,8,,,,1,,,,,,,
R7-NPX-37,"NO PARKING 6-9A EXC SAT-SUN-HOL, TAZ",,,6,9,3,1,1,1,1,1,,,,,,
R7-NPX-38,NO PARKING 7A-4P SATURDAYS JUNE THRU OCT,"06-01,10-31",,7,16,9,,,,,,1,,,,,
R7-NPX-39,"NO PARKING 11P-6A EVERYDAY, TAZ",,,23,24,1,,,,,,,,1,,,
R7-NPX-39,"NO PARKING 11P-6A EVERYDAY, TAZ",,,0,6,6,,,,,,,,1,,,
R7-NPX-40,NO PARKING 7AM-5PM,,,7,17,10,,,,,,,,1,,,
R7-NPX-41,NO PARKING 12MID-5A,,,0,5,5,,,,,,,,1,,,
R7-NPX-42,NO PARKING 5AM-5PM SUNDAYS ONLY,,,5,17,12,,,,,,,1,,,,
R7-NPX-43,NO PARKING 5PM- 12 MIDNITE,,,17,24,7,,,,,,,,1,,,
R7-NPX-44,NO PARKING 2AM-6AM ALL DAYS EXCEPT HOLIDAYS,,,2,6,4,,,,,,,,1,holiday,,
R7-NPX-45,"NO PARKING 7A-6P EXC SAT-SUN-HOL, TAZ",,,7,18,11,1,1,1,1,1,,,,,,
R7-NPX-46,NO PARKING 10P-6A,,,22,24,2,,,,,,,,1,,,
R7-NPX-46,NO PARKING 10P-6A,,,0,6,6,,,,,,,,1,,,
R7-NPX-47,NO PARKING 11P-5A EVERYDAY,,,7,10,3,1,1,1,1,1,1,,,,,
R7-NPX-48,NO PARKING 6A-6P EXC SAT-SUN-HOL,,,6,18,12,1,1,1,1,1,,,,,,
R7-NPX-49,"NO PARKING 11P-4A EXC SAT-SUN-HOL, TAZ",,,23,24,1,1,1,1,1,1,,,,,,
R7-NPX-49,"NO PARKING 11P-4A EXC SAT-SUN-HOL, TAZ",,,0,4,4,1,1,1,1,1,,,,,,
R7-NPX-50,NO PARKING 9A-5P MON-FRI,,,9,17,8,1,1,1,1,1,,,,,,
R7-NPX-51,NO PARKING 5PM-12MIDNITE,,,17,24,7,,,,,,,,1,,,
R7-NPX-52,NO PARKING 9PM-6AM,,,21,24,3,,,,,,,,1,,,
R7-NPX-52,NO PARKING 9PM-6AM,,,0,6,6,,,,,,,,1,,,
R7-NPX-53,"NO PARKING 7-10A TUES & FRI, TAZ",,,7,10,3,,1,,,1,,,,,,
R7-NPX-54,NO PARKING 7AM-7PM EVERYDAY,,,7,19,12,,,,,,,,1,,,
R7-NPX-55,NO PARKING 7AM-7PM EXCEPT SAT-SUN-HOL,,,7,19,12,1,1,1,1,1,,,,,,
R7-NPX-56,NO PARKING 7A-4P SATURDAYS JUNE THRU OCT,"06-01,10-31",,7,16,9,,,,,,1,,,,,
R7-NPX-57,NO PARKING 7AM-7PM EVERYDAY,,,7,19,12,,,,,,,,1,,,
R7-NPX-58,NO PARKING 9AM TO 1PM MON-SAT,,,9,13,4,1,1,1,1,1,1,,,,,
R7-NPX-59,NO PARKING 5P-12MIDNITE,,,17,24,7,,,,,,,,1,,,
R7-NPX-60,NO PARKING 9PM-6AM EVERYDAY,,,21,24,3,,,,,,,,1,,,
R7-NPX-60,NO PARKING 9PM-6AM EVERYDAY,,,0,6,6,,,,,,,,1,,,
R7-NPX-61,NO PARKING 7A-5P EVERYDAY,,,7,17,10,,,,,,,,1,,,
R7-NPX-62,NO PARKING 6A-5P SUNDAYS ONLY,,,6,17,11,,,,,,,1,,,,
R7-NPX-63,NO PARKING 6PM-6AM,,,18,24,6,,,,,,,,1,,,
R7-NPX-63,NO PARKING 6PM-6AM,,,0,6,6,,,,,,,,1,,,
R7-NPX-64,NO PARKING 9AM TO 1PM MON-SAT,,,9,13,4,1,1,1,1,1,1,,,,,
R7-NPX-65,NO PARKING 7A-6P EXC SAT-SUN-HOL,,,7,18,11,1,1,1,1,1,,,,,,
R7-NPX-66,NO PARKING 6A-4P SAT,,,6,16,10,,,,,,1,,,,,
R7-NPX-67,NO PARKING 4-8P EXC SAT-SUN-HOL,,,16,20,4,1,1,1,1,1,,,,,,
R7-NPX-68,"NO PARKING,12MID-3AM",,,0,3,3,,,,,,,,1,,,
R7-NPX-69,NO PARKING NOON-8P WEDNSDAYS ONLY APRIL THRU OCT,"04-01,10-31",,12,20,8,,,1,,,,,,,,
R7-NPX-70,NO PARKING 2-4P EXC SAT-SUN-HOL,,,14,16,2,1,1,1,1,1,,,,,,
R7-NPX-71,NO PARKING 5AM-5PM SUNDAYS ONLY,,,5,17,12,,,,,,,1,,,,
R7-NPX-72,NO PARKING 7A-4P SATURDAYS JUNE THRU OCT,"06-01,10-31",,7,16,9,,,,,,1,,,,,
R7-NPX-73,NO PARKING 5PM-12MID,,,17,24,7,,,,,,,,1,,,
R7-NPX-74,NO PARKING 6AM-5 PM SUNDAYS ONLY,,,6,17,11,,,,,,,1,,,,
